Date,house_starts,build_permit,cpi,ppi,gdp,corp_profit,ind_prod,home_sales,home_constr,imports,personal_consump,unempl_claims,consum_sent,lead_ind,t10_2,bus_confid,unempl_rate,cap_util,euro_confid,recess_prob,CAPE,fed_funds,VTI,AGG,DBC,^VIX,VTI_1d_Rtn,AGG_1d_Rtn,DBC_1d_Rtn,^VIX_1d_Rtn
2/7/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.058631922,1.003603452,1.011728559,-4.00E-06,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1,1,1,1,-0.009736981,-0.000699041,-0.028925562,0.042177929
2/8/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.058631922,1.003603452,1.011728559,-8.00E-06,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.007194779,0.99950124,0.995744649,0.944076511,0.007194779,-0.00049876,-0.004255351,-0.055923489
2/9/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.058631922,1.003603452,1.011728559,-1.20E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.005276143,1.000099528,1.005106383,0.965415728,-0.001904931,0.000598586,0.009401742,0.022603271
2/10/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.058631922,1.003603452,1.011728559,-1.00E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.007354046,0.998003311,0.986808384,0.947019848,0.002066998,-0.002096008,-0.018205037,-0.019054878
2/13/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.029315961,1.003603452,1.011728559,-1.00E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.002797808,0.998701193,0.971489329,0.982339973,-0.004522976,0.000699278,-0.01552384,0.037296076
2/14/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.032467532,1.003603452,1.011728559,-7.00E-06,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.012310715,0.997103736,0.963404284,0.901398077,0.009486366,-0.001599534,-0.008322319,-0.08239703
2/15/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.032467532,1.003603452,1.011728559,-1.00E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.016147561,0.998202235,0.949361636,0.905813119,0.003790186,0.001101689,-0.01457607,0.004897993
2/16/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.032467532,1.003603452,1.011728559,-1.00E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.024061135,0.997204056,0.960850905,0.844738735,0.00778782,-0.000999977,0.012102099,-0.067424927
2/17/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.032467532,1.003603452,1.011728559,-1.20E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.022862062,1.00129828,0.974468084,0.88373805,-0.0011709,0.004105703,0.014172,0.046167309
2/21/2006,-0.228650138,0.012771996,0.036382536,0.067282322,0.065156682,0.223655056,0.016738538,-0.195602729,0.076399395,0.064202549,0.062728558,-0.081168831,1.003603452,1.011728559,-1.40E-05,1.003734444,0.048,0.806125,1.00245032,0.001,1.238189847,0.046572744,1.019984321,0.997603486,0.990638266,0.913171428,-0.00281342,-0.003690003,0.016593855,0.033305546
